volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,author,title,genretags
uiuo.ark+=13960=t3jw90j80,1818,1818,1778,1818,f,uk,55572,0.552778493633,1,"Porter, Anna Maria,",The fast of St. Magdalen,stew | teamblack | stangothic
StokerDracula1897,1897,1897,1847,1897,m,uk,161696,0.561158489306,1,"Stoker, Bram,",Dracula,stew | teamblack | pbgothic
21876,1981,1981,1938,1981,m,us,111657,0.589763283799,1,"Niven, Larry,",Dream Park,stew | teamblack | chiscifi
NottingHM,1863,1863,0,1863,m,uk,49953,0.701273496044,1,"Felix, Charles, pseud.",Notting Hill Mystery,teamred | blcrime | stew
10835,1946,1946,1909,1946,f,us,93080,0.269276098043,0,"Welty, Eudora,",Delta Wedding,chirandom | teamblack
22676,1987,1987,1932,1987,m,us,114101,0.225525594875,0,"Flynn, Robert,",Wanderer Springs,chirandom | teamred
nyp.33433074945779,1866,1873,1824,1866,m,uk,354875,0.499809599613,1,"Collins, Wilkie,",Armadale,teamred | sensation | pbgothic | stew
uiuo.ark+=13960=t9c53x809,1859,1859,1808,1859,m,uk,70537,0.341345475317,0,"Chorley, Henry Fothergill",Roccabella,teamred | random
wu.89004395398,1907,1907,1875,1907,m,us,95472,0.732500887293,1,"Futrelle, Jacques,",The thinking machine,teamred | det100 | stew
10476,1935,1935,1885,1935,m,us,126034,0.364924642682,1,"Lewis, Sinclair,",It can't happen here,teamred | chiscifi | stew
arabicthreesharpers,1800,1909,1500,1800,f,ar,3768,0.325241171846,1,Anonymous8,The Three Sharpers,teamred | lockandkey | stew
10377,1932,1932,1896,1932,m,us,152503,0.305070624132,0,"Dos Passos, John,",1919,chirandom | teamred
21981,1982,1982,1938,1982,f,us,77852,0.468166975595,1,"Lorrah, Jean,",Channel's destiny,stew | teamblack | chiscifi
mdp.39015023189999,1800,1801,1756,1800,f,uk,67364,0.422166683696,0,"Hamilton, Elizabeth,",Memoirs of modern philosophers,teamred | random
uva.x030743237,1880,1880,1838,1880,m,us,51875,0.274509266103,0,"Scudder, Horace Elisha,",Doings of the Bodley fami,teamblack | random
11030,1927,1927,1882,1927,f,uk,69961,0.396196227868,0,"Woolf, Virginia,",To the lighthouse,chirandom | teamblack
uc2.ark+=13960=t0ms3qz4m,1829,1829,1803,1829,m,uk,75398,0.379525519743,0,"Lytton, Edward Bulwer Lyt",Devereux,teamred | random
uiuo.ark+=13960=t6251zn27,1810,1810,1780,1810,f,uk,79148,0.498867417443,1,"Cuthbertson, Catherine.",Forest of Montalbano,stew | teamblack | stangothic
20290,1957,1957,1897,1957,f,us,57265,0.319015027667,0,"Malvern, Gladys,",My lady: my love,chirandom | teamblack
4655,1922,1922,1875,1922,m,us,89275,0.686773103914,1,"Burroughs, Edgar Rice,",The chessmen of Mars,stew | teamblack | chiscifi
21288,1975,1975,1944,1975,m,us,102051,0.590841931704,0,"Stasheff, Christopher,",The warlock in spite of h,chirandom | chifantasy | teamblack
uc2.ark+=13960=t4wh2p202,1834,1834,0,1834,m,us,78338,0.392845542946,0,"White, James,",Some passages in the life of Sir Frizzle Pumpkin,teamblack | random
20820,1969,1969,1936,1969,f,us,194816,0.384119800974,0,"Davis, Gwen,",The pretenders,chirandom | teamred
20041,1951,1951,1902,1951,m,us,127809,0.589241285366,1,"Wylie, Philip,",The disappearance,teamred | chiscifi | stew
nyp.33433074954656,1902,1902,0,1902,m,us,30488,0.626284538808,1,"Owen, Harle Oren.",Welsh rarebit tales,teamred | locscifi | stew
mdp.39015007007282,1889,1889,1834,1889,m,us,40821,0.667921761749,1,"Stockton, Frank Richard,",The great war syndicate,teamred | anatscifi | stew
23537,1970,1970,1912,1970,m,au,217476,0.388873700703,0,"White, Patrick,",The vivisector,chirandom | teamred
inu.30000007703436,1894,1922,1859,1894,m,other,103328,0.645931055161,1,"Doyle, Arthur Conan,",Memoirs of Sherlock Holme,stew | teamblack | locdetmyst
20139,1954,1954,0,1954,m,us,72709,0.540699727763,1,"Heinlein, Robert A.",The star beast,stew | teamblack | chiscifi
nyp.33433076054620,1919,1919,1883,1919,f,us,96113,0.69178169044,1,"Ostrander, Isabel,",The twenty-six clues,teamred | det100 | stew
20505,1962,1962,1918,1962,f,us,49439,0.524533863117,1,"L'Engle, Madeleine,",A wrinkle in time,stew | chifantasy | teamblack | chiscifi
11472,1935,1935,1874,1935,f,us,111563,0.267355143926,0,"Montgomery, L. M.",Mistress Pat,chirandom | teamblack
10216,1924,1924,1896,1924,m,us,109261,0.483897218744,0,"Bromfield, Louis,",The green bay tree,chirandom | teamblack
11575,1938,1938,1906,1938,f,nz,99907,0.293506742959,0,"Hyde, Robin,",The godwits fly,chirandom | teamred
nyp.33433075843544,1892,1892,1833,1892,m,fr,62230,0.282360021259,0,"Theuriet, André,",A young man of the period,teamred | random
uc1.b3575696,1826,1826,1764,1826,f,uk,67089,0.632114044948,1,"Radcliffe, Ann Ward,",Gaston de Blondeville,stew | teamblack | pbgothic
22332,1985,1985,1928,1985,m,us,101133,0.478822526026,0,"Dick, Philip K,",Puttering about in a smal,chirandom | teamblack
ucm.5324200594,1821,1838,1771,1821,m,uk,217473,0.427305152366,0,"Scott, Walter,",Kenilworth,teamred | random
uc2.ark+=13960=t7hq41f5s,1909,1909,1858,1909,m,uk,113587,0.424045600517,0,"Ayscough, John,",A Roman tragedy and other,teamblack | random
nyp.33433075763080,1904,1904,1863,1904,m,uk,92807,0.651357339118,1,"Tracy, Louis,",The Albert Gate mystery,stew | det100 | teamblack
nyp.33433082168877,1875,1875,1822,1875,m,us,23047,0.294751127455,0,"Optic, Oliver,","Getting an indorser, and ",teamblack | random
20222,1956,1956,1915,1956,m,us,47090,0.697258673971,1,"Del Rey, Lester,",Mission to the moon,stew | teamblack | chiscifi
mdp.39015059642994,1886,1903,1850,1886,m,uk,29852,0.666799749849,1,"Stevenson, Robert Louis,",Strange case of Dr. Jekyl,teamred | pbgothic | anatscifi | stew
dul1.ark+=13960=t3vt2js1t,1786,1786,0,1786,f,uk,96376,0.324349807001,0,"Bennett, Anna Maria,","Anna; or, Memoirs of a Welch Heiress",teamred | random
11349,1931,1931,1886,1931,m,uk,87484,0.590520609304,0,"Williams, Charles,",Many dimensions,chirandom | teamblack
22685,1987,1987,0,1987,m,us,245016,0.343707187868,0,"Guild, Nicholas,",The Assyrian,chirandom | teamblack
mdp.39015074379739,1912,1912,1856,1912,m,,59528,0.461671599976,1,"Baum, L. Frank",Aunt Jane's nieces on vac,teamred | locdetective | stew
nyp.33433074954979,1802,1802,0,1802,f,uk,57901,0.346015037191,0,"Cullen, Margaret.",Home,teamred | random
20433,1960,1960,1916,1960,m,us,59030,0.576371869539,1,"Vance, Jack,",The man in the cage,teamred | chimyst | stew
mdp.39015004200997,1818,1891,1797,1818,f,uk,84301,0.603466720599,1,"Shelley, Mary Wollstonecr",Frankenstein,femscifi | stew | stangothic | teamred
uiuo.ark+=13960=t95723s7x,1812,1812,0,1812,f,uk,43942,0.340895510311,0,"Byron, Medora Gordon.",The Englishman,teamblack | random
njp.32101067634046,1833,1833,1793,1833,m,us,69300,0.391863054864,0,"Hall, James,",The soldier's bride and o,teamred | random
uc2.ark+=13960=t9668pw05,1894,1894,1833,1894,m,fr,27876,0.3359650942,0,"Theuriet, André,",The Abbé Daniel,teamblack | random
nyp.33433074880075,1871,1871,1837,1871,f,uk,131883,0.314875217002,0,"Marryat, Florence,",Her lord and master,teamblack | random
uiuo.ark+=13960=t2b85z60c,1818,1818,1775,1818,f,uk,53945,0.311057016084,1,"Austen, Jane,",Northanger Abbey,stew | teamblack | lochorror
23059,1989,1989,1940,1989,m,us,92668,0.685294152065,1,"Cook, Robin,",Mutation,teamred | chihorror | chiscifi | stew
uc1.b3578940,1906,1915,1869,1906,m,uk,76625,0.739121006628,1,"Blackwood, Algernon,",The empty house,stew | teamblack | pbgothic
11004,1950,1950,1909,1950,m,us,50166,0.775405342897,1,"Phillips, Rog,",Worlds within,teamred | chifantasy | chiscifi | stew
11007,1950,1950,1904,1950,f,us,123126,0.483778653611,0,"Seton, Anya,",Foxfire,chirandom | teamblack
uiuo.ark+=13960=t7br98r5d,1810,1810,0,1810,f,uk,56547,0.480387108499,0,Anonymous6,"The adulteress ; or, anecdotes of two noble families",teamblack | random
20899,1970,1970,1908,1970,m,us,49536,0.362117552233,0,"L'Amour, Louis,",Galloway,chirandom | teamred
10531,1937,1937,1902,1937,m,us,29729,0.327707826852,0,"Steinbeck, John,",Of mice and men,chirandom | teamred
nyp.33433074857248,1905,1909,1879,1905,m,uk,83742,0.403006213582,0,"Gibbon, Perceval,",Salvator,teamblack | random
mdp.39015011950758,1909,1923,1869,1909,m,us,77505,0.569791702057,1,"Post, Melville Davisson,","Randolph Mason, corrector",stew | det100 | teamblack
21443,1977,1977,1910,1977,m,us,57133,0.692838830584,1,"Leiber, Fritz,",Our lady of darkness,teamred | chifantasy | chiscifi | stew
njp.32101067344661,1871,1871,1814,1871,m,uk,193778,0.449320632999,1,"Le Fanu, Joseph Sheridan,",Checkmate,teamred | det100 | stew
mdp.39015063967478,1820,1820,1779,1820,m,uk,49039,0.70806299956,0,"Galt, John,",The earthquake;,teamblack | random
uc2.ark+=13960=t83j39v3z,1909,1909,1876,1909,f,us,79211,0.60785580701,1,"Rinehart, Mary Roberts,",The man in lower ten,stew | det100 | teamblack
11316,1931,1931,1882,1931,m,uk,152486,0.54001409341,0,"Armstrong, Martin,",The romantic adventures o,chirandom | teamblack
10380,1932,1932,1897,1932,m,us,152041,0.438912265528,1,"Faulkner, William",Light in August,stew | teamblack | pbgothic
njp.32101007059791,1843,1843,1799,1843,m,uk,69228,0.3550190091,0,"James, G. P. R.",Forest days;,teamblack | random
uc2.ark+=13960=t9862rx2r,1858,1874,1824,1858,m,uk,35671,0.605565250238,1,"MacDonald, George,",Phantastes,stew | teamblack | pbgothic
20791,1968,1968,1938,1968,f,us,87875,0.404240331404,1,"Oates, Joyce Carol,",Expensive people,teamred | pbgothic | chihorror | stew
nyp.33433074818778,1880,1880,1844,1880,m,us,155416,0.655940471066,1,"Cowan, Frank,",Revi-Lona,stew | teamblack | locscifi
